Hardcoded English strings without .tr (excluding translation files and firebase_options.dart)
Total: 918

lib/main.dart:40 | in_en=no | Jovera Finance
lib/screens/mortgage/common/apply_as_view.dart:52 | in_en=yes | Salary
lib/screens/mortgage/common/apply_as_view.dart:56 | in_en=yes | Next
lib/screens/mortgage/company/mortgage_company_documents_view.dart:28 | in_en=yes | Required Documents
lib/screens/mortgage/company/mortgage_company_documents_view.dart:33 | in_en=yes | Passport
lib/screens/mortgage/company/mortgage_company_documents_view.dart:37 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:43 | in_en=yes | Emirates ID
lib/screens/mortgage/company/mortgage_company_documents_view.dart:48 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:54 | in_en=yes | Trade License
lib/screens/mortgage/company/mortgage_company_documents_view.dart:59 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:66 | in_en=yes | Valid Salary Certificate
lib/screens/mortgage/company/mortgage_company_documents_view.dart:72 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:76 | in_en=yes | Last 12 months Bank statement
lib/screens/mortgage/company/mortgage_company_documents_view.dart:83 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:87 | in_en=yes | Etihad Bureau + Company
lib/screens/mortgage/company/mortgage_company_documents_view.dart:93 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:97 | in_en=yes | Last 4 VAT Payments
lib/screens/mortgage/company/mortgage_company_documents_view.dart:103 | in_en=no | pdf
lib/screens/mortgage/company/mortgage_company_documents_view.dart:115 | in_en=yes | Next
lib/screens/mortgage/company/mortgage_company_details_view.dart:28 | in_en=yes | Company Owner Details
lib/screens/mortgage/company/mortgage_company_details_view.dart:33 | in_en=yes | Full Name
lib/screens/mortgage/company/mortgage_company_details_view.dart:72 | in_en=yes | Choose
lib/screens/mortgage/company/mortgage_company_details_view.dart:94 | in_en=yes | Email
lib/screens/mortgage/company/mortgage_company_details_view.dart:107 | in_en=yes | Next
